Region,Constituency,Station,Registered,UDP,NPP,GDC,NUP,PDOIS,INDP,LEAVE_BLANK
Brikama,Brikama South,Brikama Santuso Nursery Sch.,1310,154,144,181,305,209,242,
Brikama,Brikama South,Brikama Suma Kunda Bantaba,1324,295,111,278,238,73,197,
Brikama,Brikama South,Busura Clinic,1744,318,45,123,87,240,46,
Brikama,Brikama South,Darsilameh Health Centre,2064,149,317,65,252,285,52,
Brikama,Brikama South,Jamwelly Bantaba,1546,45,41,218,59,302,131,
Brikama,Brikama South,Kabakel Outside Sch,417,228,324,93,47,208,105,
Brikama,Brikama South,Kitty Bantaba,2597,137,245,139,193,160,240,
Brikama,Brikama South,Manduar Bantaba,2963,74,256,316,256,191,164,
Brikama,Brikama South,Marakissa Bantaba,1683,296,119,101,219,201,112,
Brikama,Brikama South,Penyem  Bantaba,868,33,232,67,184,107,148,
Brikama,Busumbala,Banjulunding Comm. Centre.,2430,171,120,243,299,83,103,
Brikama,Busumbala,Banjulunding Seed Store,2067,65,177,290,113,129,39,
Brikama,Busumbala,Busumbala Bantaba,5105,170,277,185,158,91,322,
Brikama,Busumbala,Busumbala Guigi Bantaba,2404,290,146,220,323,140,94,
Brikama,Busumbala,Busumbala Model Sukoto Bantaba,2982,262,222,261,282,277,113,
Brikama,Busumbala,Busumbala Tintinba Mosque,1887,318,249,278,292,187,156,
Brikama,Busumbala,Daranka Village Hall,2355,277,284,65,195,238,318,
Brikama,Busumbala,Daru Busumbala Bantaba,2192,74,269,236,71,255,183,
Brikama,Busumbala,Kombo Kerewan Bantaba,3586,73,186,286,231,243,181,
Brikama,Busumbala,Kubariko Bantaba,723,203,116,62,139,95,84,
Brikama,Busumbala,Kunkujang Jatta Yaa Bantaba,1024,102,244,250,110,91,285,
Brikama,Busumbala,Lamin Babylon Football Field,2316,189,247,210,149,181,96,
Brikama,Busumbala,Lamin Cambodia,1188,239,281,107,153,206,140,
Brikama,Busumbala,Lamin Gamtrade Training Centre (Opposite),2957,226,245,144,168,281,80,
Brikama,Busumbala,Lamin Health Centre,2480,110,296,154,145,246,224,
Brikama,Busumbala,Lamin Sda School,1032,318,176,91,179,186,323,
Brikama,Busumbala,Lamin St. Peter'S Pri Sch (Behind Petrol Station),3598,293,109,43,196,278,118,
Brikama,Busumbala,Makumbaya Garage,1544,65,231,122,72,140,90,
Brikama,Busumbala,Mandinary Dutokoto,3986,190,283,48,103,150,117,
Brikama,Busumbala,New Yundum Bantba,3017,216,152,263,83,244,222,
Brikama,Busumbala,New Yundum Pri Sch,2520,289,218,248,106,95,301,
Brikama,Busumbala,New Yundum Sadinka,823,164,243,97,249,101,149,
Brikama,Busumbala,Yaram Bamba Estate Mosque,1237,154,38,80,92,276,249,
Brikama,Foni Bintang,Arangalen Bantaba,395,136,209,265,104,118,145,
Brikama,Foni Bintang,Bajagarr Bantaba,532,38,126,266,117,103,62,
Brikama,Foni Bintang,Batabut Kantora,1015,202,119,117,323,132,279,
Brikama,Foni Bintang,Batending Kajera Bantaba,504,117,307,259,82,137,90,
Brikama,Foni Bintang,Bintang Bantaba,796,314,284,265,113,88,235,
Brikama,Foni Bintang,Bullanjorr Bantaba,375,119,84,253,151,181,178,
Brikama,Foni Bintang,Jakoi Sibirick,578,228,269,256,260,260,198,
Brikama,Foni Bintang,Janack Bantaba,1314,251,50,162,203,117,327,
Brikama,Foni Bintang,Kansanyi Ecd,472,252,99,46,281,182,175,
Brikama,Foni Bintang,Kusamai Bantaba,1481,113,58,62,180,255,173,
Brikama,Foni Bintang,Sibanor Bantaba,2558,293,109,282,202,66,243,
Brikama,Foni Bintang,Tampoto,949,160,183,131,40,124,193,
Brikama,Foni Bondali,Bantanjang Bantaba,278,204,196,193,199,185,276,
Brikama,Foni Bondali,Bondali Jola Chief'S Quarter,1448,289,167,167,271,249,126,
Brikama,Foni Bondali,Chabai Bantaba,307,93,35,299,190,263,184,
Brikama,Foni Bondali,Kankurang Bantaba,1440,78,142,291,156,145,166,
Brikama,Foni Bondali,Mayork Health Centre,1294,218,271,179,249,206,246,
Brikama,Foni Brefet,Bajana Bantaba,589,93,242,106,284,173,187,
Brikama,Foni Brefet,Bereft Bantaba,366,215,41,50,192,124,69,
Brikama,Foni Brefet,Bessi Ccf,912,268,215,164,130,272,137,
Brikama,Foni Brefet,Bulock Bantaba,2415,93,165,308,70,147,205,
Brikama,Foni Brefet,Ndemban Tenda Bantaba,1662,312,212,324,82,69,155,
Brikama,Foni Brefet,Somita Ccf,2227,307,296,175,263,250,98,
Brikama,Foni Brefet,Sutusinjang Day Care Centre,953,160,158,183,88,56,260,
Brikama,Foni Jarrol,Arankon Kunda Bantaba,583,325,232,66,183,216,267,
Brikama,Foni Jarrol,Kalagi Bantaba,1335,210,180,145,143,168,291,
Brikama,Foni Jarrol,Kanmamudou Ecd,1206,231,215,219,161,98,73,
Brikama,Foni Jarrol,Sintet Health Centre,1527,199,83,169,230,270,244,
Brikama,Foni Jarrol,Wassadou Bantaba,632,318,237,237,215,96,80,
Brikama,Foni Kansala,Bwiam Ccf,2193,320,306,251,313,176,287,
Brikama,Foni Kansala,Darsilameh Bantaba,441,68,188,270,37,86,296,
Brikama,Foni Kansala,Dobong Bantaba,690,184,282,56,204,60,136,
Brikama,Foni Kansala,Jekesi Dandoni Bantaba,556,194,135,270,237,132,123,
Brikama,Foni Kansala,Kampant Anglican Church,1385,296,272,243,175,136,63,
Brikama,Foni Kansala,Kanfendi Bantaba,883,134,102,87,294,103,40,
Brikama,Foni Kansala,Kanilai Pri. Sch.,2495,308,89,189,51,303,124,
Brikama,Foni Kansala,Sanghajorr Health Centre,925,62,296,82,108,199,242,
Brikama,Kombo East,Basori Bantaba,2378,72,47,185,283,140,312,
Brikama,Kombo East,Bonto Kuta Jalokoto Bantaba,671,57,108,322,138,321,274,
Brikama,Kombo East,Faraba Banta Banatba,2204,152,247,110,173,220,61,
Brikama,Kombo East,Faraba Sutu Ccf .,748,167,74,134,173,110,78,
Brikama,Kombo East,Giboro Kuta Bantaba,3086,302,263,242,255,82,117,
Brikama,Kombo East,Kafuta Bantaba,3040,189,67,307,123,246,294,
Brikama,Kombo East,Kairaba (Faraba Manokang) Bantaba,1534,294,118,84,97,234,322,
Brikama,Kombo East,Kuloro Bantaba,2573,227,66,92,263,202,173,
Brikama,Kombo East,Mandinaba Bantaba,1829,173,323,145,310,101,305,
Brikama,Kombo East,Medina Sokotoi Bantaba,1137,235,145,259,322,119,82,
Brikama,Kombo East,Omorto Skill Centre,425,34,274,323,197,261,161,
Brikama,Kombo East,Pirang Bantaba,1599,234,76,108,185,327,147,
Brikama,Kombo East,Pirang Berending Bantaba,1719,134,176,228,183,273,99,
Brikama,Kombo East,Pirang Berending Darusalam,666,306,71,99,245,58,70,
Brikama,Kombo East,Sohm Health Centre,979,204,174,157,59,277,216,
Brikama,Kombo East,Tuba Kuta Bantaba,1055,258,128,187,123,88,80,
Brikama,Kombo South,Banyaka Bantaba,1659,86,68,271,308,324,282,
Brikama,Kombo South,Batokunku ( Near Nursery Sch.),205,275,35,113,49,214,71,
Brikama,Kombo South,Batokunku Skill Centre (Near Mosque),1658,52,178,313,44,201,76,
Brikama,Kombo South,Berending Bantaba,1208,190,101,134,66,195,101,
Brikama,Kombo South,Farato (Sanchaba) Outside Alkalo'S Compound,929,233,140,273,206,261,308,
Brikama,Kombo South,Farato Mosque,3806,269,264,193,109,152,137,
Brikama,Kombo South,Farato Nema Mosque,2843,316,276,260,47,310,128,
Brikama,Kombo South,Farato New Town Mosque,1079,196,294,310,56,34,51,
Brikama,Kombo South,Gunjur (By The Pri Sch),4248,79,310,297,143,223,327,
Brikama,Kombo South,Gunjur Health Centre,6593,158,76,326,165,278,37,
Brikama,Kombo South,Gunjur Kunkujang Bantaba,1931,277,216,150,61,156,321,
Brikama,Kombo South,Jambanjelly Market,3839,248,283,224,277,153,230,
Brikama,Kombo South,Jambur Bantaba,3359,249,153,323,264,240,278,
Brikama,Kombo South,Kartong Health Centre,2548,64,119,191,312,280,223,
Brikama,Kombo South,Kunkujang Mariama Bantaba,1185,303,230,106,315,259,84,
Brikama,Kombo South,Medina Salam (Centre),1407,180,239,78,53,268,254,
Brikama,Kombo South,Nyofelleh Bantaba,1542,226,325,209,114,204,190,
Brikama,Kombo South,Rumba Bantaba,787,55,290,204,171,66,164,
Brikama,Kombo South,Sanyang Bantaba,6902,269,186,240,258,197,67,
Brikama,Kombo South,Siffoe Ccf,3326,280,195,152,275,128,261,
Brikama,Kombo South,Tanji B,3973,319,288,166,176,244,298,
Brikama,Kombo South,Tanji Comm. Centre,3137,153,86,36,77,258,77,
Brikama,Kombo South,Tujereng (Around Sen Sec Sch),1400,63,280,148,200,240,43,
Brikama,Kombo South,Tujereng Bantaba,2835,106,147,267,113,100,91,
Brikama,Old Yundum,Jabang Mosque,3637,120,205,261,174,116,197,
Brikama,Old Yundum,Kunkujang Keita Yaa  Central Mosque,4609,66,46,63,301,286,145,
Brikama,Old Yundum,Latriya Health Centre,1296,250,119,314,54,182,121,
Brikama,Old Yundum,Mariama Kunda Bantaba,2567,163,262,185,73,118,70,
Brikama,Old Yundum,Medina Baliya (Sinchu Baliya ) Mosque.,3552,97,39,267,53,244,130,
Brikama,Old Yundum,Medina Sey Kunda (Sinchu Alagi) 2,3627,49,118,170,97,200,79,
Brikama,Old Yundum,Medina Sey Kunda (Sinchu Alagi) Bantaba,4444,132,157,157,326,195,134,
Brikama,Old Yundum,Nema Nasir,1652,34,89,222,153,186,298,
Brikama,Old Yundum,Nemakunku,6766,194,306,122,201,154,215,
Brikama,Old Yundum,Old Yundum Bantaba,3795,62,80,143,304,285,104,
Brikama,Old Yundum,Sinchu Sorrie Nursery Sch.,3895,111,83,170,118,322,56,
Brikama,Old Yundum,Tawuto Bantaba,1663,252,190,126,63,262,293,
Brikama,Old Yundum,Wellingara  Red Cross Bantaba,2946,68,84,193,181,213,288,
Brikama,Old Yundum,Wellingara (Behind Jah Oil Petrol Station),4029,189,253,301,275,199,211,
Brikama,Old Yundum,Youna Bantaba,2028,70,43,198,94,168,169,
Brikama,Sanneh Mentereng,Kerr Serign (Hamdalaye) Central Mosque,2788,105,51,197,65,151,40,
Brikama,Sanneh Mentereng,Bijilo Bantaba,2642,191,223,180,322,154,265,
Brikama,Sanneh Mentereng,Brufut 2,4108,41,193,38,105,322,321,
Brikama,Sanneh Mentereng,Brufut Father'S Sch. (Dutabakoto),4651,307,308,55,276,254,173,
Brikama,Sanneh Mentereng,Brufut Pri. Sch.  (Behind Market),4231,249,153,240,115,51,293,
Brikama,Sanneh Mentereng,Brusubi Estate Phase Two 2,1331,138,166,122,73,281,41,
Brikama,Sanneh Mentereng,Brusubi Estate Sample House,2342,216,71,289,117,247,177,
Brikama,Sanneh Mentereng,Mediana Mosque,3174,261,230,55,305,98,206,
Brikama,Sanneh Mentereng,Salagi (Opp. Nawec Water Plant),1861,242,86,83,144,213,63,
Brikama,Sanneh Mentereng,Sanchaba Sulay Jobe (Outside Alkalo'S Comp.),2385,94,327,211,92,236,211,
Brikama,Sanneh Mentereng,Sanchaba Sulay Jobe (Skill Centre),1878,242,40,235,174,314,309,
Brikama,Sanneh Mentereng,Sukuta Arabic Sch.,3808,129,251,281,155,185,52,
Brikama,Sanneh Mentereng,Sukuta Cinema Hall,5337,234,279,296,137,127,84,
Brikama,Sanneh Mentereng,Sukuta Jamisa ( By The Metal Workshop),1495,45,171,103,59,235,172,
Brikama,Sanneh Mentereng,Sukuta Nema Bani Israel Mosque,2386,82,236,127,291,234,34,
Brikama,Sanneh Mentereng,Sukuta Sec Sch (Library),2350,155,236,300,201,152,254,
Brikama,Sanneh Mentereng,Sukuta Talaba Koto ( By The Central Mosque),2215,301,194,130,233,80,171,
Brikama,Sanneh Mentereng,Sukuta Tumbungto Bantaba,388,115,270,173,197,95,130,
Brikama,Sanneh Mentereng,Tranquil Mosque,1548,109,118,114,112,93,188,
Brikama,Sanneh Mentereng,Wuling Kama Opp. Alkalo'S Comp.,2346,258,200,186,259,146,184,
Janjanbureh,Janjanbureh,Janjanbureh (Mccarhty),1600,327,202,89,232,272,86,
Janjanbureh,Lower Fulladu West,Boyram Denton,1287,306,250,149,39,247,214,
Janjanbureh,Lower Fulladu West,Brikamaba,1947,163,82,241,220,42,70,
Janjanbureh,Lower Fulladu West,Brikmanding,799,228,65,193,52,128,253,
Janjanbureh,Lower Fulladu West,Dasilameh,1610,226,225,137,165,233,196,
Janjanbureh,Lower Fulladu West,Faraba,860,318,189,158,327,200,79,
Janjanbureh,Lower Fulladu West,Fass Abdou,1229,92,143,289,152,312,240,
Janjanbureh,Lower Fulladu West,Fulabantang,1640,288,291,302,186,285,321,
Janjanbureh,Lower Fulladu West,Gidda,974,178,315,109,183,136,55,
Janjanbureh,Lower Fulladu West,Jahally,1280,210,64,57,75,95,277,
Janjanbureh,Lower Fulladu West,Kerewan Fula (Kerewan Samba Sira),1171,198,255,85,125,260,34,
Janjanbureh,Lower Fulladu West,Kerewan Mandinka,445,225,185,37,252,247,232,
Janjanbureh,Lower Fulladu West,Madina Mfally,1515,294,177,87,186,180,64,
Janjanbureh,Lower Fulladu West,Misera Joben,1218,115,41,230,299,208,246,
Janjanbureh,Lower Fulladu West,Patcharr,714,129,178,54,281,224,35,
Janjanbureh,Lower Fulladu West,Sankulay Kunda,292,326,323,134,248,192,160,
Janjanbureh,Lower Fulladu West,Sare Malang,782,303,327,282,272,65,218,
Janjanbureh,Lower Fulladu West,Sare Ngai-Tabanding Ngai,723,211,186,170,48,246,99,
Janjanbureh,Lower Fulladu West,Saruja,1063,169,201,266,53,181,168,
Janjanbureh,Lower Fulladu West,Taifa Chendou (Taifa Saikou),842,123,75,157,290,123,87,
Janjanbureh,Lower Saloum,Ballanghar Jalato,689,39,304,315,304,308,119,
Janjanbureh,Lower Saloum,Ballanghar Kerr Layin.,818,68,237,137,284,150,260,
Janjanbureh,Lower Saloum,Ballanghar.Kerr Nderri,1036,234,208,106,275,213,129,
Janjanbureh,Lower Saloum,Gengi Wollof,860,295,255,272,127,205,283,
Janjanbureh,Lower Saloum,Jahour Mandinka,520,224,132,314,184,140,301,
Janjanbureh,Lower Saloum,Jimbala Felungo,1028,304,188,153,188,295,214,
Janjanbureh,Lower Saloum,Kaur Janneh Kunda,889,54,150,151,294,106,123,
Janjanbureh,Lower Saloum,Kaur Wharf Town,2229,119,94,209,140,165,207,
Janjanbureh,Lower Saloum,Simbara Khai,723,301,154,200,216,80,298,
Janjanbureh,Niamina Dankunku,Baro Kunda,923,41,290,146,176,100,70,
Janjanbureh,Niamina Dankunku,Dankunku Mandinka,896,87,293,222,57,146,82,
Janjanbureh,Niamina Dankunku,Jessadi,645,183,256,319,187,109,41,
Janjanbureh,Niamina Dankunku,Touba Wollof (Sambang Wollof),167,116,290,236,114,175,253,
Janjanbureh,Niamina Dankunku,Welingara Elo (Niani Kunda),324,149,220,109,176,321,114,
Janjanbureh,Niamina Dankunku,Wellingara Yoro Bah (Kerr Layin),829,95,128,263,199,46,52,
Janjanbureh,Niamina East,Bantanto,494,272,234,228,62,302,99,
Janjanbureh,Niamina East,Batti Njol,890,323,322,219,58,321,305,
Janjanbureh,Niamina East,Jareng,1384,203,135,263,228,292,192,
Janjanbureh,Niamina East,Jockul,529,36,277,238,258,219,79,
Janjanbureh,Niamina East,Kaolong,436,310,240,71,195,266,278,
Janjanbureh,Niamina East,Kudang,1804,176,246,101,72,301,308,
Janjanbureh,Niamina East,Maka Mbayen,1214,250,129,102,114,154,312,
Janjanbureh,Niamina East,Mamud Fana,1068,72,113,112,73,154,128,
Janjanbureh,Niamina East,Mbayen,466,216,146,54,308,42,61,
Janjanbureh,Niamina East,Pakala Kerr Biram,575,181,41,145,217,158,75,
Janjanbureh,Niamina East,Pateh Sarm,1253,59,77,224,191,74,278,
Janjanbureh,Niamina East,Sambel Kunda,1033,205,164,178,166,62,215,
Janjanbureh,Niamina East,Sinchu Gundo,1138,92,187,212,304,196,283,
Janjanbureh,Niamina East,Sotokoi,897,314,257,33,325,138,271,
Janjanbureh,Niamina West,Catamina,993,135,209,283,216,291,297,
Janjanbureh,Niamina West,Choya,342,145,91,200,167,69,91,
